0.25,0.215101,0.177735,0.357164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0.199,0.188114,0.171235,0.318577,0.123074,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0.156,0.157389,0.155857,0.225715,0.264773,0.0402659,-1,-1,-1,-1,-1,-1,-1,-1,
0.119,0.125981,0.132996,0.0985451,0.350668,0.160344,0.0124656,-1,-1,-1,-1,-1,-1,-1,
0.088,0.0965577,0.106805,-1,0.261484,0.359915,0.0835748,0.00366324,-1,-1,-1,-1,-1,-1,
0.063,0.0709696,0.0811628,-1,-1,0.439476,0.304681,0.0396788,0.00103153,-1,-1,-1,-1,-1,
0.043,0.0493987,0.0578751,-1,-1,-1,0.599278,0.232216,0.0179458,0.000285953,-1,-1,-1,-1,
0.028,0.0326181,0.0388618,-1,-1,-1,-1,0.724442,0.167948,0.00805081,8.01103e-05,-1,-1,-1,
0.017,0.0199995,0.0241065,-1,-1,-1,-1,-1,0.813075,0.122013,0.0037827,2.34998e-05,-1,-1,
0.011,0.0130088,0.0157763,-1,-1,-1,-1,-1,-1,0.869651,0.0887676,0.00179017,6.52396e-06,-1,
0.008,0.00948539,0.0115379,-1,-1,-1,-1,-1,-1,-1,0.90737,0.0628364,0.00076947,1.283e-06,
0.007,0.00830682,0.0101143,-1,-1,-1,-1,-1,-1,-1,-1,0.93535,0.039012,0.000216961,
0.006,0.00712621,0.00868537,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.960212,0.0179764,
0.005,0.00594356,0.00725109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.981805,
