0.114,0.110468,0.106537,0.102124,0.0971215,0.469749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.113,0.109643,0.105893,0.101667,0.0968563,0.27396,0.198981,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.112,0.108815,0.105244,0.101203,0.0965833,0.147744,0.254418,0.0739924,-1,-1,-1,-1,-1,-1,-1,-1
0.111,0.107984,0.104589,0.100732,0.0963024,0.071306,0.229152,0.155605,0.0233295,-1,-1,-1,-1,-1,-1,-1
0.099,0.0977931,0.0963277,0.0945277,0.0922862,0.0299554,0.178902,0.225853,0.0787145,0.00664084,-1,-1,-1,-1,-1,-1
0.089,0.0889993,0.0888674,0.0885483,0.0879574,0.00728613,0.1034,0.247828,0.163778,0.0327069,0.00162863,-1,-1,-1,-1,-1
0.079,0.079941,0.0808841,0.0818029,0.0826503,-1,0.035148,0.200783,0.252457,0.0957183,0.0112858,0.00032993,-1,-1,-1,-1
0.069,0.0706266,0.0723803,0.074269,0.0762928,-1,-1,0.0959398,0.286552,0.205871,0.04586,0.00315644,5.20816e-05,-1,-1,-1
0.059,0.0610643,0.0633603,0.0659297,0.0688224,-1,-1,-1,0.195169,0.330166,0.138036,0.0177641,0.000682618,5.91953e-06,-1,-1
0.049,0.051262,0.0538296,0.0567736,0.0601874,-1,-1,-1,-1,0.328897,0.318826,0.0757633,0.00535411,0.000106539,4.36161e-07,-1
0.039,0.0412271,0.0437952,0.0467937,0.0503467,-1,-1,-1,-1,-1,0.484364,0.260174,0.0331037,0.00118542,1.10053e-05,1.63887e-08
0.029,0.0309668,0.0332646,0.0359875,0.0392698,-1,-1,-1,-1,-1,-1,0.642813,0.177445,0.0110704,0.000182278,6.12418e-07
0.019,0.0204881,0.0222462,0.0243561,0.0269357,-1,-1,-1,-1,-1,-1,-1,0.783362,0.100736,0.00285924,1.70513e-05
0.009,0.00979745,0.0107491,0.0119036,0.0133322,-1,-1,-1,-1,-1,-1,-1,-1,0.886896,0.0576872,0.000634341
0.006,0.00654991,0.00720795,0.00800869,0.0090028,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93926,0.0239708
0.004,0.00437468,0.00482386,0.0053715,0.00605281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.975377
